Country,Value
Austria,0.967228608
Canada,1.780196543
Croatia,0.577421797
Cyprus,1.261286411
Denmark,1.008321959
Estonia,2.116541299
Finland,1.557241763
France,1.198636503
Germany,0.947976619
Greece,0.940863945
Hungary,0.885912771
Iceland,0.890969137
Ireland,0.809347927
Italy,0.592142572
Luxembourg,0.496488174
Netherlands,0.58618159
Norway,0.468343712
Poland,0.7304547
Romania,1.281649698
Slovak Republic,1.136985269
Slovenia,0.481269937
Spain,0.618938273
Sweden,1.083072677
Switzerland,0.586468024
United Kingdom,1.124487833
United States,5.005865811